Age,Gender,Education Level,Job Title,Years of Experience,Salary (USD),Race
46.0,Male,PhD,Data Analyst/Scientist,18.0,160000.0,Chinese
31.0,Female,Bachelors,Marketing/Social Media,3.0,50000.0,White
42.0,Male,Bachelors,Manager/Director/VP,12.0,110000.0,Black
29.0,Female,Bachelors,Sales,1.5,40000.0,African American
36.0,Male,Bachelors,Marketing/Social Media,8.0,95000.0,White
44.0,Female,Masters,HR/Human Resources,15.0,140000.0,Chinese
33.0,Male,Bachelors,Manager/Director/VP,4.0,60000.0,Korean
39.0,Female,Bachelors,Marketing/Social Media,9.0,110000.0,White
45.0,Male,PhD,Data Analyst/Scientist,16.0,150000.0,Asian
32.0,Female,Bachelors,Manager/Director/VP,4.0,60000.0,Welsh
37.0,Male,Bachelors,Data Analyst/Scientist,8.0,90000.0,Australian
47.0,Female,Masters,Manager/Director/VP,20.0,180000.0,Mixed
30.0,Male,Bachelors,Data Analyst/Scientist,2.0,40000.0,Australian
38.0,Female,Bachelors,Manager/Director/VP,9.0,120000.0,Asian
46.0,Male,PhD,Data Analyst/Scientist,17.0,160000.0,Asian
34.0,Female,Bachelors,Data Analyst/Scientist,5.0,70000.0,Mixed
36.0,Male,Bachelors,Manager/Director/VP,8.0,95000.0,Asian
49.0,Female,Masters,Manager/Director/VP,21.0,180000.0,Mixed
31.0,Male,Bachelors,Data Analyst/Scientist,3.0,50000.0,Hispanic
41.0,Female,Bachelors,Other,11.0,95000.0,Black
47.0,Male,Masters,Manager/Director/VP,19.0,170000.0,White
29.0,Female,Bachelors,Other,1.5,35000.0,White
35.0,Male,Bachelors,Manager/Director/VP,9.0,100000.0,White
44.0,Female,PhD,Product/Designer,15.0,150000.0,White
33.0,Male,Bachelors,Data Analyst/Scientist,4.0,60000.0,Black
35.0,Female,Bachelors,Data Analyst/Scientist,8.0,85000.0,Chinese
44.0,Male,Bachelors,Software/Developer,13.0,130000.0,White
32.0,Male,Bachelors,Manager/Director/VP,4.0,65000.0,Chinese
38.0,Female,Bachelors,Data Analyst/Scientist,10.0,110000.0,Asian
49.0,Male,PhD,Manager/Director/VP,21.0,180000.0,Asian
29.0,Female,Bachelors,Marketing/Social Media,2.0,40000.0,Australian
35.0,Male,Bachelors,Manager/Director/VP,7.0,90000.0,Hispanic
45.0,Female,Masters,Manager/Director/VP,14.0,140000.0,Welsh
33.0,Male,Bachelors,Data Analyst/Scientist,4.0,60000.0,Korean
40.0,Female,Bachelors,Manager/Director/VP,12.0,130000.0,Asian
44.0,Male,PhD,Data Analyst/Scientist,16.0,160000.0,Asian
30.0,Female,Bachelors,Operations/Supply Chain,2.0,40000.0,White
37.0,Male,Bachelors,Data Analyst/Scientist,9.0,100000.0,Mixed
48.0,Female,Masters,Manager/Director/VP,20.0,180000.0,Hispanic
31.0,Male,Bachelors,Manager/Director/VP,3.0,55000.0,Black
38.0,Female,Bachelors,Operations/Supply Chain,9.0,120000.0,Asian
45.0,Male,PhD,Data Analyst/Scientist,16.0,150000.0,Black
33.0,Female,Bachelors,Manager/Director/VP,5.0,70000.0,Mixed
36.0,Male,Bachelors,Data Analyst/Scientist,8.0,95000.0,Chinese
49.0,Female,Masters,Manager/Director/VP,21.0,180000.0,White
31.0,Male,Bachelors,Data Analyst/Scientist,3.0,50000.0,Black
42.0,Female,Bachelors,Manager/Director/VP,12.0,120000.0,White
47.0,Male,Masters,Manager/Director/VP,19.0,170000.0,White
29.0,Female,Bachelors,Other,1.5,35000.0,White
35.0,Male,Bachelors,Manager/Director/VP,9.0,100000.0,Asian
44.0,Female,PhD,Product/Designer,15.0,150000.0,Asian
33.0,Male,Bachelors,Data Analyst/Scientist,4.0,60000.0,White
35.0,Female,Bachelors,Data Analyst/Scientist,8.0,85000.0,Black
44.0,Male,Bachelors,Software/Developer,13.0,130000.0,White
34.0,Female,Masters,Financial/Accountant,6.0,80000.0,White
36.0,Male,Bachelors,Marketing/Social Media,8.0,95000.0,White
30.0,Female,Bachelors,HR/Human Resources,2.0,40000.0,Welsh
37.0,Male,Bachelors,Manager/Director/VP,10.0,120000.0,Chinese
45.0,Female,Masters,Manager/Director/VP,16.0,160000.0,Black
32.0,Male,Bachelors,Financial/Accountant,4.0,65000.0,Hispanic
39.0,Female,Bachelors,Manager/Director/VP,12.0,130000.0,White
47.0,Male,PhD,Manager/Director/VP,20.0,180000.0,White
29.0,Female,Bachelors,Data Analyst/Scientist,2.0,40000.0,Australian
36.0,Male,Bachelors,Manager/Director/VP,9.0,100000.0,Asian
43.0,Female,PhD,Data Analyst/Scientist,15.0,150000.0,African American
32.0,Male,Bachelors,Marketing/Social Media,3.0,55000.0,White
38.0,Female,Bachelors,Data Analyst/Scientist,10.0,110000.0,White
48.0,Male,Masters,Manager/Director/VP,21.0,180000.0,Chinese
31.0,Female,Bachelors,Other,3.0,50000.0,Korean
40.0,Male,Bachelors,Data Analyst/Scientist,12.0,130000.0,White
45.0,Female,PhD,Product/Designer,16.0,160000.0,Asian
33.0,Male,Bachelors,Manager/Director/VP,4.0,60000.0,Asian
36.0,Female,Bachelors,Manager/Director/VP,8.0,95000.0,Korean
47.0,Male,Masters,Manager/Director/VP,19.0,170000.0,Chinese
29.0,Female,Bachelors,Manager/Director/VP,2.0,40000.0,Mixed
34.0,Male,Bachelors,Operations/Supply Chain,7.0,90000.0,Asian
44.0,Female,PhD,Data Analyst/Scientist,15.0,150000.0,White
33.0,Male,Bachelors,Marketing/Social Media,5.0,70000.0,Welsh
35.0,Female,Bachelors,Manager/Director/VP,8.0,90000.0,White
43.0,Male,Masters,Manager/Director/VP,18.0,170000.0,Korean
31.0,Female,Bachelors,Data Analyst/Scientist,3.0,50000.0,Asian
41.0,Male,Bachelors,Manager/Director/VP,14.0,150000.0,White
44.0,Female,PhD,Data Analyst/Scientist,16.0,160000.0,Asian
33.0,Male,Bachelors,Data Analyst/Scientist,4.0,60000.0,Black
35.0,Female,Bachelors,Data Analyst/Scientist,8.0,85000.0,Asian
45.0,Male,Masters,Manager/Director/VP,19.0,180000.0,Chinese
28.0,Female,Bachelors,Manager/Director/VP,1.0,35000.0,Asian
36.0,Male,Bachelors,Manager/Director/VP,8.0,110000.0,Asian
44.0,Female,PhD,Data Analyst/Scientist,16.0,160000.0,Chinese
31.0,Male,Bachelors,Marketing/Social Media,3.0,55000.0,Black
38.0,Female,Bachelors,Data Analyst/Scientist,10.0,110000.0,Black
48.0,Male,Masters,Manager/Director/VP,21.0,180000.0,Asian
31.0,Female,Bachelors,Other,3.0,50000.0,Black
40.0,Male,Bachelors,Data Analyst/Scientist,12.0,130000.0,White
45.0,Female,PhD,Product/Designer,16.0,160000.0,Asian
33.0,Male,Bachelors,Manager/Director/VP,4.0,60000.0,White
36.0,Female,Bachelors,Manager/Director/VP,8.0,95000.0,Welsh
47.0,Male,Masters,Manager/Director/VP,19.0,170000.0,Welsh
29.0,Female,Bachelors,Manager/Director/VP,2.0,40000.0,Australian
34.0,Male,Bachelors,Operations/Supply Chain,7.0,90000.0,Chinese
44.0,Female,PhD,Data Analyst/Scientist,15.0,150000.0,Welsh
33.0,Male,Bachelors,Marketing/Social Media,5.0,70000.0,White
35.0,Female,Bachelors,Manager/Director/VP,8.0,90000.0,Chinese
43.0,Male,Masters,Manager/Director/VP,18.0,170000.0,Asian
31.0,Female,Bachelors,Data Analyst/Scientist,3.0,50000.0,Black
41.0,Male,Bachelors,Manager/Director/VP,14.0,150000.0,Chinese
44.0,Female,PhD,Data Analyst/Scientist,16.0,160000.0,White
33.0,Male,Bachelors,Data Analyst/Scientist,4.0,60000.0,Welsh
35.0,Female,Bachelors,Data Analyst/Scientist,8.0,85000.0,White
43.0,Male,Masters,Manager/Director/VP,19.0,170000.0,White
29.0,Female,Bachelors,Manager/Director/VP,2.0,40000.0,Asian
34.0,Male,Bachelors,Operations/Supply Chain,7.0,90000.0,White
44.0,Female,PhD,Data Analyst/Scientist,15.0,150000.0,White
31.0,Male,Masters,Data Analyst/Scientist,6.0,160000.0,White
28.0,Female,Bachelors,Software/Developer,3.0,125000.0,Black
26.0,Male,Masters,Manager/Director/VP,2.0,120000.0,White
27.0,Female,Bachelors,Data Analyst/Scientist,2.0,110000.0,Mixed
30.0,Male,PhD,Data Analyst/Scientist,5.0,180000.0,Korean
29.0,Female,Bachelors,Software/Developer,4.0,140000.0,White
32.0,Male,Bachelors,Manager/Director/VP,7.0,170000.0,Asian
25.0,Female,Masters,Data Analyst/Scientist,1.0,100000.0,White
33.0,Male,PhD,Data Analyst/Scientist,8.0,190000.0,Mixed
31.0,Female,Bachelors,Software/Developer,6.0,155000.0,Welsh
28.0,Male,Masters,Manager/Director/VP,3.0,130000.0,Black
30.0,Female,Bachelors,Data Analyst/Scientist,5.0,145000.0,African American
27.0,Male,PhD,Data Analyst/Scientist,2.0,115000.0,African American
29.0,Female,Bachelors,Software/Developer,4.0,140000.0,Hispanic
34.0,Male,Bachelors,Manager/Director/VP,9.0,185000.0,Chinese
25.0,Female,Masters,Data Analyst/Scientist,1.0,100000.0,Australian
33.0,Male,PhD,Data Analyst/Scientist,8.0,190000.0,Black
31.0,Female,Bachelors,Software/Developer,6.0,155000.0,Welsh
28.0,Male,Masters,Manager/Director/VP,3.0,130000.0,White
30.0,Female,Bachelors,Data Analyst/Scientist,5.0,145000.0,White
28.0,Male,Bachelors,Software/Developer,3.0,125000.0,Korean
26.0,Female,Masters,Manager/Director/VP,2.0,120000.0,White
27.0,Male,Bachelors,Data Analyst/Scientist,2.0,110000.0,African American
30.0,Female,PhD,Data Analyst/Scientist,5.0,180000.0,Korean
29.0,Male,Bachelors,Software/Developer,4.0,140000.0,Hispanic
32.0,Male,Bachelors,Manager/Director/VP,7.0,170000.0,Chinese
25.0,Female,Masters,Data Analyst/Scientist,1.0,100000.0,Asian
33.0,Male,PhD,Data Analyst/Scientist,8.0,190000.0,Asian
31.0,Female,Bachelors,Software/Developer,6.0,155000.0,Australian
28.0,Male,Masters,Manager/Director/VP,3.0,130000.0,Asian
30.0,Female,Bachelors,Data Analyst/Scientist,5.0,145000.0,Asian
27.0,Male,PhD,Data Analyst/Scientist,2.0,115000.0,Asian
29.0,Female,Bachelors,Software/Developer,4.0,140000.0,White
